表头注释,开仓时间,平仓时间,开仓价格,平仓价格,多空方向,平仓交易日,合约代码,成交量,收益,手续费,最小报价单位,交易单位
index,open_time,cover_time,open_price,cover_price,ls,cover_date,symbol,volume,rt,fee,tick_size,size
0,2023/4/17 11:24,2023/4/17 13:54,15110,15140,1,20230417,cf2309,1,5.656,0.344,5,5
1,2023/4/17 10:08,2023/4/18 10:35,15025,15050,-1,20230418,cf2309,1,-5.344,0.344,5,5
2,2023/4/18 10:35,2023/4/18 10:52,15060,15060,-1,20230418,cf2309,1,-0.344,0.344,5,5
